"","row","item","version","letter","sentence","sentence_spr","im_jahr","year","future","pp","objnp","qm1","fact","qm2","verb","comma","spillover_verb","name","spillover_pp","full_sentence","condition","list","life_status","yes_F","yes_J","life_mismatch","fact_mismatch","type","created","occupation","file_name"
"1",1,1,1,"a","1a","Im Jahr*2001*werde ich*in dem Film*""Harry Potter und der Stein der Weisen""*auftreten,*das behauptete*Emma Watson*in einem Intervew.","Im Jahr","2001","werde ich","in dem","Film","""","Harry Potter und der Stein der Weisen","""","auftreten",",","das behauptete","Emma Watson","in einem Intervew.","Im Jahr 2001 werde ich in dem Film ""Harry Potter und der Stein der Weisen"" auftreten, das behauptete Emma Watson in einem Intervew.","full match","L1","alive","FALSE","J","match","match","critical","DP","Actors","Emma_Watson.jpg"
"2",2,1,3,"a","3a","Im Jahr*1939*werde ich*in dem Film*""Zauberer von Oz""*auftreten,*das behauptete*Judy Garland*in einem Intervew.","Im Jahr","1939","werde ich","in dem","Film","""","Zauberer von Oz","""","auftreten",",","das behauptete","Judy Garland","in einem Intervew.","Im Jahr 1939 werde ich in dem Film ""Zauberer von Oz"" auftreten, das behauptete Judy Garland in einem Intervew.","full match","L1","dead","FALSE","J","match","match","critical","DP","Actors","Judy_Garland.jpg"
"3",3,2,6,"d","6d","Im Jahr*2018*werde ich*das Lied*""Thriller""*aufnehmen,*das verkündete*David Bowie*gegenüber der Presse.","Im Jahr","2018","werde ich","das","Lied","""","Thriller","""","aufnehmen",",","das verkündete","David Bowie","gegenüber der Presse.","Im Jahr 2018 werde ich das Lied ""Thriller"" aufnehmen, das verkündete David Bowie gegenüber der Presse.","life-fact mismatch","L1","dead","FALSE","J","mismatch","mismatch","critical","DP","Musicians","David_Bowie.jpg"
"4",4,2,8,"d","8d","Im Jahr*1982*werde ich*das Lied*""This Is America""*aufnehmen,*das verkündete*Namika*gegenüber der Presse.","Im Jahr","1982","werde ich","das","Lied","""","This Is America","""","aufnehmen",",","das verkündete","Namika","gegenüber der Presse.","Im Jahr 1982 werde ich das Lied ""This Is America"" aufnehmen, das verkündete Namika gegenüber der Presse.","life-fact mismatch","L1","alive","FALSE","J","mismatch","mismatch","critical","DP","Musicians","Namika.jpg"
"5",5,3,10,"c","10c","Im Jahr*1997*werde ich*in dem Film*""Vom Winde verweht""*mitspielen,*das meinte*Clark Gable*zu einem Reporter.","Im Jahr","1997","werde ich","in dem","Film","""","Vom Winde verweht","""","mitspielen",",","das meinte","Clark Gable","zu einem Reporter.","Im Jahr 1997 werde ich in dem Film ""Vom Winde verweht"" mitspielen, das meinte Clark Gable zu einem Reporter.","life mismatch","L1","dead","FALSE","J","mismatch","match","critical","DP","Actors","Clark_Gable.jpg"
"6",6,3,12,"c","12c","Im Jahr*1940*werde ich*in dem Film*""Austin Powers""*mitspielen,*das meinte*Mike Myers*zu einem Reporter.","Im Jahr","1940","werde ich","in dem","Film","""","Austin Powers","""","mitspielen",",","das meinte","Mike Myers","zu einem Reporter.","Im Jahr 1940 werde ich in dem Film ""Austin Powers"" mitspielen, das meinte Mike Myers zu einem Reporter.","life mismatch","L1","alive","FALSE","J","mismatch","match","critical","DP","Actors","Mike_Myers.jpg"
"7",7,4,14,"b","14b","Im Jahr*1977*werde ich*das Buch*""The Handmaid's Tale""*schreiben,*das erzählte*Stephen King*einer Tageszeitung.","Im Jahr","1977","werde ich","das","Buch","""","The Handmaid's Tale","""","schreiben",",","das erzählte","Stephen King","einer Tageszeitung.","Im Jahr 1977 werde ich das Buch ""The Handmaid's Tale"" schreiben, das erzählte Stephen King einer Tageszeitung.","fact mismatch","L1","alive","FALSE","J","match","mismatch","critical","DP","Authors","Stephen_King.jpg"
"8",8,4,16,"b","16b","Im Jahr*1929*werde ich*das Buch*""In einem andern Land""*schreiben,*das erzählte*Virginia Woolf*einer Tageszeitung.","Im Jahr","1929","werde ich","das","Buch","""","In einem andern Land","""","schreiben",",","das erzählte","Virginia Woolf","einer Tageszeitung.","Im Jahr 1929 werde ich das Buch ""In einem andern Land"" schreiben, das erzählte Virginia Woolf einer Tageszeitung.","fact mismatch","L1","dead","FALSE","J","match","mismatch","critical","DP","Authors","Virginia_Woolf.jpg"
"9",9,5,18,"a","18a","Im Jahr*2000*werde ich*in dem Film*""Pulp Fiction""*zu sehen sein,*das stellte*Uma Thurmann*in einem Interview fest.","Im Jahr","2000","werde ich","in dem","Film","""","Pulp Fiction","""","zu sehen sein",",","das stellte","Uma Thurmann","in einem Interview fest.","Im Jahr 2000 werde ich in dem Film ""Pulp Fiction"" zu sehen sein, das stellte Uma Thurmann in einem Interview fest.","full match","L1","alive","FALSE","J","match","match","critical","DP","Actors","Uma_Thurman.jpg"
"10",10,5,20,"a","20a","Im Jahr*1959*werde ich*in dem Film*""Manche mögen's heiß""*zu sehen sein,*das stellte*Marilyn Monroe*in einem Interview fest.","Im Jahr","1959","werde ich","in dem","Film","""","Manche mögen's heiß","""","zu sehen sein",",","das stellte","Marilyn Monroe","in einem Interview fest.","Im Jahr 1959 werde ich in dem Film ""Manche mögen's heiß"" zu sehen sein, das stellte Marilyn Monroe in einem Interview fest.","full match","L1","dead","FALSE","J","match","match","critical","DP","Actors","Marilyn_Monroe.jpg"
"11",11,6,21,"d","21d","Im Jahr*2004*werde ich*bei dem Film*""Psycho""*Regie führen,*das versicherte*Stanley Kubrick*einem Reporter.","Im Jahr","2004","werde ich","bei dem","Film","""","Psycho","""","Regie führen",",","das versicherte","Stanley Kubrick","einem Reporter.","Im Jahr 2004 werde ich bei dem Film ""Psycho"" Regie führen, das versicherte Stanley Kubrick einem Reporter.","life-fact mismatch","L1","dead","FALSE","J","mismatch","mismatch","critical","PM","Directors","Stanley_Kubrick.jpg"
"12",12,6,23,"d","23d","Im Jahr*1960*werde ich*bei dem Film*""Shaun of the Dead""*Regie führen,*das versicherte*Quentin Tarantino*einem Reporter.","Im Jahr","1960","werde ich","bei dem","Film","""","Shaun of the Dead","""","Regie führen",",","das versicherte","Quentin Tarantino","einem Reporter.","Im Jahr 1960 werde ich bei dem Film ""Shaun of the Dead"" Regie führen, das versicherte Quentin Tarantino einem Reporter.","life-fact mismatch","L1","alive","FALSE","J","mismatch","mismatch","critical","PM","Directors","Quentin_Tarantino.jpg"
"13",13,7,25,"c","25c","Im Jahr*2020*werde ich*das Turnier im*""Boxen""*gewinnen,*das berichtete*Muhammad Ali*einer Nachrichtenagentur.","Im Jahr","2020","werde ich","das","Turnier im","""","Boxen","""","gewinnen",",","das berichtete","Muhammad Ali","einer Nachrichtenagentur.","Im Jahr 2020 werde ich das Turnier im ""Boxen"" gewinnen, das berichtete Muhammad Ali einer Nachrichtenagentur.","life mismatch","L1","dead","FALSE","J","mismatch","match","critical","PM","Athletes","Muhammad_Ali.jpg"
"14",14,7,27,"c","27c","Im Jahr*1975*werde ich*das Turnier im*""Fußball""*gewinnen,*das berichtete*Lionel Messi*einer Nachrichtenagentur.","Im Jahr","1975","werde ich","das","Turnier im","""","Fußball","""","gewinnen",",","das berichtete","Lionel Messi","einer Nachrichtenagentur.","Im Jahr 1975 werde ich das Turnier im ""Fußball"" gewinnen, das berichtete Lionel Messi einer Nachrichtenagentur.","life mismatch","L1","alive","FALSE","J","mismatch","match","critical","PM","Athletes","Lionel_Messi.jpg"
"15",15,8,29,"b","29b","Im Jahr*2019*werde ich*in dem Film*""Once Upon a Time in Hollywood""*auftreten,*das teilte*Joaquin Phoenix*einer Journalistin mit.","Im Jahr","2019","werde ich","in dem","Film","""","Once Upon a Time in Hollywood","""","auftreten",",","das teilte","Joaquin Phoenix","einer Journalistin mit.","Im Jahr 2019 werde ich in dem Film ""Once Upon a Time in Hollywood"" auftreten, das teilte Joaquin Phoenix einer Journalistin mit.","fact mismatch","L1","alive","FALSE","J","match","mismatch","critical","AP","Actors","Joaquin_Phoenix.jpg"
"16",16,8,31,"b","31b","Im Jahr*1963*werde ich*in dem Film*""Cleopatra""*auftreten,*das teilte*Romy Schneider*einer Journalistin mit.","Im Jahr","1963","werde ich","in dem","Film","""","Cleopatra","""","auftreten",",","das teilte","Romy Schneider","einer Journalistin mit.","Im Jahr 1963 werde ich in dem Film ""Cleopatra"" auftreten, das teilte Romy Schneider einer Journalistin mit.","fact mismatch","L1","dead","FALSE","J","match","mismatch","critical","AP","Actors","Romy_Schneider.jpg"
"17",17,9,33,"a","33a","Im Jahr*1990*werde ich*in dem Film*""Pretty Woman""*mitspielen,*das äußerte*Julia Roberts*gegenüber den Medien.","Im Jahr","1990","werde ich","in dem","Film","""","Pretty Woman","""","mitspielen",",","das äußerte","Julia Roberts","gegenüber den Medien.","Im Jahr 1990 werde ich in dem Film ""Pretty Woman"" mitspielen, das äußerte Julia Roberts gegenüber den Medien.","full match","L1","alive","FALSE","J","match","match","critical","AP","Actors","Julia_Roberts.jpg"
"18",18,9,35,"a","35a","Im Jahr*1963*werde ich*in dem Film*""Dinner for One""*mitspielen,*das äußerte*May Warden*gegenüber den Medien.","Im Jahr","1963","werde ich","in dem","Film","""","Dinner for One","""","mitspielen",",","das äußerte","May Warden","gegenüber den Medien.","Im Jahr 1963 werde ich in dem Film ""Dinner for One"" mitspielen, das äußerte May Warden gegenüber den Medien.","full match","L1","dead","FALSE","J","match","match","critical","AP","Actors","May_Warden.jpg"
"19",19,10,38,"d","38d","Im Jahr*2015*werde ich*in dem Film*""The Invisible Woman""*die Hauptrolle spielen,*das schilderte*Charlie Chaplin*interessierten Fans.","Im Jahr","2015","werde ich","in dem","Film","""","The Invisible Woman","""","die Hauptrolle spielen",",","das schilderte","Charlie Chaplin","interessierten Fans.","Im Jahr 2015 werde ich in dem Film ""The Invisible Woman"" die Hauptrolle spielen, das schilderte Charlie Chaplin interessierten Fans.","life-fact mismatch","L1","dead","FALSE","J","mismatch","mismatch","critical","AP","Actors","Charlie_Chaplin.jpg"
"20",20,10,40,"d","40d","Im Jahr*1940*werde ich*in dem Film*""Die Tribute von Panem – Mockingjay""*die Hauptrolle spielen,*das schilderte*Arnold Schwarzenegger*interessierten Fans.","Im Jahr","1940","werde ich","in dem","Film","""","Die Tribute von Panem – Mockingjay","""","die Hauptrolle spielen",",","das schilderte","Arnold Schwarzenegger","interessierten Fans.","Im Jahr 1940 werde ich in dem Film ""Die Tribute von Panem – Mockingjay"" die Hauptrolle spielen, das schilderte Arnold Schwarzenegger interessierten Fans.","life-fact mismatch","L1","alive","FALSE","J","mismatch","mismatch","critical","AP","Actors","Arnold_Schwarzenegger.jpg"
"21",21,11,42,"c","42c","Im Jahr*1998*werde ich*in dem Film*""Das süße Leben""*die Hauptrolle spielen,*das behauptete*Marcello Mastroianni*auf dem roten Teppich.","Im Jahr","1998","werde ich","in dem","Film","""","Das süße Leben","""","die Hauptrolle spielen",",","das behauptete","Marcello Mastroianni","auf dem roten Teppich.","Im Jahr 1998 werde ich in dem Film ""Das süße Leben"" die Hauptrolle spielen, das behauptete Marcello Mastroianni auf dem roten Teppich.","life mismatch","L1","dead","FALSE","J","mismatch","match","critical","AP","Actors","Marcello_Mastroianni.jpg"
"22",22,11,44,"c","44c","Im Jahr*1960*werde ich*in dem Film*""Lola rennt""*die Hauptrolle spielen,*das behauptete*Franka Potente*auf dem roten Teppich.","Im Jahr","1960","werde ich","in dem","Film","""","Lola rennt","""","die Hauptrolle spielen",",","das behauptete","Franka Potente","auf dem roten Teppich.","Im Jahr 1960 werde ich in dem Film ""Lola rennt"" die Hauptrolle spielen, das behauptete Franka Potente auf dem roten Teppich.","life mismatch","L1","alive","FALSE","J","mismatch","match","critical","AP","Actors","Franka_Potente.jpg"
